Designator,Mid X,Mid Y,Rotation,Layer
D1,110.33,-80.87,180.0,bottom
D10,131.37,-105.78,180.0,bottom
D11,150.55,-105.68,180.0,bottom
D12,169.55,-105.89,180.0,bottom
D13,117.87,-66.37,0.0,bottom
D14,159.45,-65.73,180.0,bottom
D2,129.29,-80.99,180.0,bottom
D3,148.64,-80.43,180.0,bottom
D4,167.64,-80.63,180.0,bottom
D5,112.63,-86.29,180.0,bottom
D6,131.87,-85.84,180.0,bottom
D7,150.76,-86.56,180.0,bottom
D8,169.61,-86.61,180.0,bottom
D9,112.41,-105.36,180.0,bottom
J2,138.99,-124.99,270.0,bottom
S1,110.44,-75.93,0.0,top
S10,129.49,-114.03,0.0,top
S11,148.54,-114.03,0.0,top
S12,167.59,-114.03,0.0,top
S2,129.49,-75.93,0.0,top
S3,148.54,-75.93,0.0,top
S4,167.59,-75.93,0.0,top
S5,110.44,-94.98,0.0,top
S6,129.49,-94.98,0.0,top
S7,148.54,-94.98,0.0,top
S8,167.59,-94.98,0.0,top
S9,110.44,-114.03,0.0,top
SW1,110.5,-56.61,270.0,top
SW2,167.67,-56.58,270.0,top
